sr,Make,Model,Variant,Ex-Showroom_Price,Fuel_Tank_Capacity,Fuel_Type,Body_Type,ARAI_Certified_Mileage,Gears,Power,Seating_Capacity,Type,Number_of_Airbags
1,Renault,Kwid,Rxt 1.0,"Rs. 4,33,290",28 litres,Petrol,Hatchback,23.01 km/litre,5,68PS@5500rpm,5,Manual,1
2,Renault,Kwid,Climber 1.0 Mt,"Rs. 4,54,490",28 litres,Petrol,Hatchback,23.01 km/litre,5,68PS@5500rpm,5,Manual,1
3,Renault,Kwid,Rxt (O) 1.0,"Rs. 4,40,990",28 litres,Petrol,Hatchback,23.01 km/litre,5,68PS@5500rpm,5,Manual,2
4,Renault,Kwid,Rxt (O) Amt 1.0,"Rs. 4,70,990",28 litres,Petrol,Hatchback,23.01 km/litre,5,68PS@5500rpm,5,Automatic,2
5,Renault,Kwid,Climber (O) Mt 1.0,"Rs. 4,62,190",28 litres,Petrol,Hatchback,23.01 km/litre,5,68PS@5500rpm,5,Manual,2
6,Datsun,Go,D,"Rs. 3,74,990",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
7,Datsun,Go,T,"Rs. 4,68,229",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
8,Datsun,Go,T (O),"Rs. 5,02,492",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
9,Datsun,Go,A (O),"Rs. 4,99,990",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
10,Datsun,Go,A,"Rs. 4,69,990",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
11,Datsun,Go,T Vdc,"Rs. 5,28,464",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
12,Datsun,Go,T (O) Vdc,"Rs. 5,53,015",35 litres,Petrol,Hatchback,20.1 km/litre,5,68PS@5000rpm,5,Manual,2
13,Datsun,Go,T Cvt,"Rs. 5,94,464",35 litres,Petrol,Hatchback,20.1 km/litre,5,78PS@5000rpm,5,Manual,2
14,Datsun,Go,T (O) Cvt,"Rs. 6,18,015",35 litres,Petrol,Hatchback,20.1 km/litre,5,78PS@5000rpm,5,Manual,2
15,Tata,Tiago,Revotron Xt,"Rs. 5,20,000",35 litres,Petrol,Hatchback,23 km/litre,5,86PS@6000rpm,5,Manual,2
16,Tata,Tiago,Revotron Xz,"Rs. 5,70,000",35 litres,Petrol,Hatchback,23 km/litre,5,86PS@6000rpm,5,Manual,2
17,Tata,Tiago,Revotron Xz Plus,"Rs. 5,99,000",35 litres,Petrol,Hatchback,23 km/litre,5,86PS@6000rpm,5,Manual,2
18,Tata,Tiago,Revotron Xz Plus Dual Tone,"Rs. 6,10,000",35 litres,Petrol,Hatchback,23 km/litre,5,86PS@6000rpm,5,Manual,2
19,Toyota,Etios Liva,Vx,"Rs. 6,30,000",45 litres,Petrol,Hatchback,18.16 km/litre,5,80PS@5600rpm,5,Manual,2
20,Toyota,Etios Liva,Vxd,"Rs. 7,45,000",45 litres,Diesel,Hatchback,23.59 km/litre,5,68PS@3800rpm,5,Manual,2
21,Toyota,Etios Liva,Dual Tone Vx,"Rs. 6,41,700",45 litres,Petrol,Hatchback,18.16 km/litre,5,80PS@5600rpm,5,Manual,2
22,Toyota,Etios Liva,Dual Tone Vxd,"Rs. 7,56,700",45 litres,Diesel,Hatchback,23.59 km/litre,5,68PS@3800rpm,5,Manual,2
23,Toyota,Etios Liva,Vx Dual Tone Limited Edition,"Rs. 6,62,700",45 litres,Petrol,Hatchback,18.16 km/litre,5,80PS@5600rpm,5,Manual,2
24,Toyota,Etios Liva,Vxd Dual Tone Limited Edition,"Rs. 7,77,700",45 litres,Diesel,Hatchback,23.59 km/litre,5,68PS@3800rpm,5,Manual,2
25,Nissan,Micra Active,Xl,"Rs. 5,25,021",41 litres,Petrol,Hatchback,18.97 km/litre,5,68PS@5000rpm,5,Manual,2
26,Nissan,Micra Active,Xv,"Rs. 5,99,950",41 litres,Petrol,Hatchback,19.49 km/litre,5,68PS@5000rpm,5,Manual,2
27,Nissan,Micra Active,Xl (O),"Rs. 5,63,133",41 litres,Petrol,Hatchback,18.97 km/litre,5,68PS@5000rpm,5,Manual,2
28,Hyundai,Elite I20,Magna Plus,"Rs. 6,34,950",45 litres,Petrol,Hatchback,18.6 km/litre,5,84PS@6000rpm,5,Manual,2
29,Hyundai,Elite I20,Magna Plus Crdi,"Rs. 7,70,803",45 litres,Diesel,Hatchback,22.54 km/litre,6,90PS@4000rpm,5,Manual,2
30,Hyundai,Elite I20,Sportz Plus,"Rs. 7,21,693",45 litres,Petrol,Hatchback,18.6 km/litre,5,84PS@6000rpm,5,Manual,2
31,Hyundai,Elite I20,Sportz Plus Crdi Dual Tone,"Rs. 8,76,103",45 litres,Diesel,Hatchback,22.54 km/litre,6,90PS@4000rpm,5,Manual,2
32,Hyundai,Elite I20,Asta (O) 1.2,"Rs. 8,08,993",45 litres,Petrol,Hatchback,18.15 km/litre,5,84PS@6000rpm,5,Manual,6
33,Hyundai,Elite I20,Asta (O) Crdi,"Rs. 9,34,003",45 litres,Diesel,Hatchback,22.54 km/litre,6,90PS@4000rpm,5,Manual,6
34,Hyundai,Elite I20,Asta (O) Cvt,"Rs. 9,20,993",45 litres,Petrol,Hatchback,18.6 km/litre,5,83PS@6000rpm,5,Automatic,2
35,Hyundai,Elite I20,Sportz Plus Dual Tone,"Rs. 7,51,693",45 litres,Petrol,Hatchback,18.6 km/litre,5,84PS@6000rpm,5,Manual,2
36,Hyundai,Elite I20,Sportz Plus Cvt,"Rs. 8,31,693",45 litres,Petrol,Hatchback,18.6 km/litre,5,84PS@6000rpm,5,Manual,2
37,Hyundai,Elite I20,Sportz Plus Crdi,"Rs. 8,46,103",45 litres,Diesel,Hatchback,22.54 km/litre,6,90PS@4000rpm,5,Manual,2
38,Volkswagen,Polo,Highline Plus 1.0 (P),"Rs. 7,76,500",45 litres,Petrol,Hatchback,18.78 km/litre,5,76PS@6200RPM,5,Manual,2
39,Volkswagen,Polo,Highline Plus 1.5 (D),"Rs. 9,31,500",45 litres,Diesel,Hatchback,20.14 km/litre,5,90PS@4200rpm,5,Manual,2
40,Volkswagen,Polo,Gt Tsi,"Rs. 9,76,000",45 litres,Petrol,Hatchback,17.21 km/litre,7,105PS@5000rpm,5,Automatic,2
41,Volkswagen,Polo,Gt Tdi,"Rs. 9,88,500",45 litres,Diesel,Hatchback,19.91 km/litre,5,110PS@4400rpm,5,Manual,2
42,Maruti Suzuki,Dzire,Zxi,"Rs. 7,32,113",37 litres,Petrol,Sedan,22 km/litre,5,84.3PS@6000rpm,5,Manual,2
43,Maruti Suzuki,Dzire,Zdi Amt,"Rs. 8,63,122",37 litres,Diesel,Sedan,28.4 km/litre,5,75PS@4000rpm,5,Automatic,2
44,Maruti Suzuki,Dzire,Zdi,"Rs. 8,16,622",37 litres,Diesel,Sedan,28.4 km/litre,5,75PS@4000rpm,5,Manual,2
45,Maruti Suzuki,Dzire,Zxi Plus,"Rs. 8,21,613",37 litres,Petrol,Sedan,22 km/litre,5,84.3PS@6000rpm,5,Manual,2
46,Maruti Suzuki,Dzire,Zxi At,"Rs. 7,79,113",37 litres,Petrol,Sedan,22 km/litre,5,84.3PS@6000rpm,5,Automatic,2
47,Maruti Suzuki,Dzire,Zxi Plus Amt,"Rs. 8,68,613",37 litres,Petrol,Sedan,22 km/litre,5,84.3PS@6000rpm,5,Automatic,2
48,Maruti Suzuki,Dzire,Zdi Plus,"Rs. 9,06,122",37 litres,Diesel,Sedan,28.4 km/litre,5,75PS@4000rpm,5,Manual,2
49,Maruti Suzuki,Dzire,Zdi Plus Amt,"Rs. 9,52,622",37 litres,Diesel,Sedan,28.4 km/litre,5,75PS@4000rpm,5,Automatic,2
50,Ford,Freestyle,1.5L Tdci Ambiente,"Rs. 6,76,400",40 litres,Diesel,Crossover,24.4 km/litre,5,100PS@3750RPM,5,Manual,2
51,Ford,Freestyle,1.5L Tdci Titanium,"Rs. 7,90,900",40 litres,Diesel,Hatchback,24.4 km/litre,5,100PS@3750RPM,5,Manual,2
52,Ford,Freestyle,1.5L Tdci Titanium Plus,"Rs. 8,36,400",40 litres,Diesel,Hatchback,24.4 km/litre,5,100PS@3750RPM,5,Manual,6
53,Ford,Freestyle,1.2L Ti-Vct Titanium,"Rs. 7,21,400",42 litres,Petrol,Hatchback,19 km/litre,5,96PS@6500rpm,5,Manual,2
54,Ford,Freestyle,1.2L Ti-Vct Titanium Plus,"Rs. 7,56,400",42 litres,Petrol,Hatchback,19 km/litre,5,96PS@6500rpm,5,Manual,6
55,Ford,Freestyle,1.2L Ti-Vct Trend Plus,"Rs. 6,81,400",42 litres,Petrol,Crossover,19 km/litre,5,96PS@6500rpm,5,Manual,2
56,Ford,Freestyle,1.5L Tdci Trend Plus,"Rs. 7,45,900",42 litres,Diesel,Crossover,24.4 km/litre,5,100PS@3750RPM,5,Manual,2
57,Ford,Aspire,1.2 Ti-Vct Trend,"Rs. 6,63,400",42 litres,Petrol,Sedan,20.4 km/litre,5,96PS@6500rpm,5,Manual,2
58,Ford,Aspire,1.5 Tdci Trend,"Rs. 7,37,400",40 litres,Diesel,Sedan,26.1 km/litre,5,100PS@3750RPM,5,Manual,2
59,Ford,Aspire,1.5 Tdci Trend Plus,"Rs. 7,77,400",40 litres,Diesel,Sedan,26.1 km/litre,5,100PS@3750RPM,5,Manual,2
60,Ford,Aspire,1.5 Tdci Titanium,"Rs. 8,17,400",40 litres,Diesel,Sedan,26.1 km/litre,5,100PS@3750RPM,5,Manual,2
61,Ford,Aspire,1.2 Ti-Vct Titanium Plus,"Rs. 7,82,400",42 litres,Petrol,Sedan,19.4 km/litre,5,96PS@6500rpm,5,Manual,6
62,Ford,Aspire,1.2 Ti-Vct Titanium,"Rs. 7,37,400",42 litres,Petrol,Sedan,19.4 km/litre,5,96PS@6500rpm,5,Manual,2
63,Ford,Aspire,1.2 Ti-Vct Blu,"Rs. 7,62,400",42 litres,Petrol,Sedan,19.4 km/litre,5,96PS@6500rpm,5,Manual,2
64,Ford,Aspire,1.5 Tdci Blu,"Rs. 8,42,400",40 litres,Diesel,Sedan,26.1 km/litre,5,100PS@3750RPM,5,Manual,2
65,Toyota,Platinum Etios,Vxd,"Rs. 8,88,400",45 litres,Diesel,Sedan,23.59 km/litre,5,68PS@3800rpm,5,Manual,2
66,Toyota,Platinum Etios,Vxd Limited Edition,"Rs. 9,13,400",45 litres,Diesel,Sedan,23.59 km/litre,5,68PS@3800rpm,5,Manual,2
67,Honda,Jazz,V Petrol,"Rs. 7,45,000",40 litres,Petrol,Hatchback,18.2 km/litre,5,90PS@6000rpm,5,Manual,2
68,Honda,Jazz,Vx Cvt,"Rs. 9,09,000",40 litres,Petrol,Hatchback,19 km/litre,5,90PS@6000rpm,5,Automatic,2
69,Honda,Jazz,Vx Petrol,"Rs. 7,89,000",40 litres,Petrol,Hatchback,18.2 km/litre,5,90PS@6000rpm,5,Manual,2
70,Honda,Jazz,V Cvt,"Rs. 8,65,000",40 litres,Petrol,Hatchback,19 km/litre,5,90PS@6000rpm,5,Automatic,2
71,Honda,Jazz,S Diesel,"Rs. 8,16,500",40 litres,Diesel,Hatchback,27.3 km/litre,6,100PS@3600rpm,5,Manual,2
72,Honda,Jazz,V Diesel,"Rs. 8,96,500",40 litres,Diesel,Hatchback,27.3 km/litre,6,100PS@3600rpm,5,Manual,2
73,Honda,Jazz,Vx Diesel,"Rs. 9,40,500",40 litres,Diesel,Hatchback,27.3 km/litre,6,100PS@3600rpm,5,Manual,2
74,Honda,Jazz,Exclusive Edition Cvt,"Rs. 9,28,000",40 litres,Petrol,Hatchback,18.2 km/litre,5,89 bhp@6000rpm,5,Automatic,2
75,Isuzu,Mu-X,4X2,"Rs. 27,34,834",76 litres,Diesel,SUV,13.8 km/litre,5,177PS@3600rpm,7,Automatic,2
76,Isuzu,Mu-X,4X4,"Rs. 29,31,534",76 litres,Diesel,SUV,13.8 km/litre,5,177PS@3600rpm,7,Automatic,2
77,Skoda,Superb Sportline,Sportline 1.8L Tsi At,"Rs. 28,99,599",66 litres,Petrol,Sedan,13.7 km/litre,7,180PS@6200RPM,5,Automatic,8
78,Audi,A3,35 Tdi Premium Plus,"Rs. 30,21,200",50 litres,Diesel,Sedan,20.38 km/litre,6,143PS@4000rpm,5,Automatic,9
79,Audi,A3,35 Tdi Technology,"Rs. 32,21,200",50 litres,Diesel,Sedan,20.38 km/litre,6,143PS@4000rpm,5,Automatic,9
80,Audi,A3,35 Tfsi Premium Plus,"Rs. 29,20,750",50 litres,Petrol,Sedan,19.2 km/litre,7,150PS@6000RPM,5,Automatic,9
81,Audi,A3,35 Tfsi Technology,"Rs. 31,20,750",50 litres,Petrol,Sedan,19.2 km/litre,7,150PS@6000RPM,5,Automatic,9
82,Skoda,Kodiaq,Style 2.0 Tdi 4X4 At,"Rs. 32,99,599",66 litres,Diesel,SUV,18.19 km/litre,6,177PS@4000RPM,5,Automatic,8
83,Skoda,Kodiaq,Laurin And Klement,"Rs. 36,78,599",66 litres,Diesel,SUV,18.19 km/litre,6,148bhp@4000RPM,5,Automatic,9
84,Skoda,Kodiaq,Corporate Edition,"Rs. 32,99,599",66 litres,Diesel,SUV,18.19 km/litre,6,177PS@4000RPM,5,Automatic,9
85,Audi,Q3,30 Tdi Premium Fwd,"Rs. 36,77,200",64 litres,Diesel,SUV,15.73 km/litre,7,148hp@3500-4000rpm,5,Manual,6
86,Audi,Q3,35 Tdi Quattro Premium Plus,"Rs. 39,92,200",64 litres,Diesel,SUV,15.73 km/litre,7,177PS@4200rpm,5,Automatic,6
87,Audi,Q3,35 Tdi Quattro Technology,"Rs. 43,61,000",64 litres,Diesel,SUV,15.73 km/litre,7,177PS@4200rpm,5,Automatic,6
88,Audi,Q3,30 Tfsi Premium,"Rs. 34,96,750",64 litres,Petrol,SUV,16.9 km/litre,7,150PS@4200rpm,5,Automatic,6
89,Jaguar,Xf,2.0 Portfolio,"Rs. 60,73,446",82 litres,Petrol,Sedan,13.12 km/litre,8,247PS@5500rpm,5,Automatic,6
90,Bmw,X3,Xdrive 20D Luxury Line,"Rs. 59,30,000",67 litres,Diesel,SUV,18.56 km/litre,8,190PS@4000rpm,5,Automatic,6
91,Bmw,X3,Xdrive 30I Luxury Line,"Rs. 58,80,000",67 litres,Petrol,SUV,18.56 km/litre,8,248 bhp @ 5200 rpm,5,Automatic,6
92,Bmw,X3,Xdrive20D Xline,"Rs. 56,00,000",67 litres,Diesel,SUV,18.56 km/litre,8,190PS@4000rpm,5,Automatic,6
93,Ford,Mustang,Fastback V8,"Rs. 74,62,000",60.9 litres,Petrol,"Sedan, Coupe",13 km/litre,6,401PS@6550RPM,4,Automatic,8
94,Toyota,Land Cruiser Prado,Vx L,"Rs. 96,30,000",87 litres,Diesel,SUV,11.13 km/litre,5,173PS@3400rpm,7,Automatic,7
95,Audi,Rs5,Coupe,"Rs. 1,11,41,200",58 litres,Petrol,Coupe,10.8 km/litre,7,450PS@5700-6700rpm,4,Automatic,6
96,Bmw,7-Series,730Ld Design Pure Excellence,"Rs. 1,22,90,000",78 litres,Diesel,Sedan,17.66 km/litre,8,265PS@4000RPM,4,Automatic,8
97,Bmw,7-Series,730Ld Design Pure Excellence Signature,"Rs. 1,32,00,000",78 litres,Diesel,Sedan,17.66 km/litre,8,265PS@4000RPM,4,Automatic,8
98,Bmw,7-Series,730Ld M Sport,"Rs. 1,35,10,000",78 litres,Diesel,Sedan,17.66 km/litre,8,265PS@4000RPM,4,Automatic,8
99,Porsche,Panamera,Turbo,"Rs. 2,12,63,000",90 litres,Petrol,Sedan,10.63 km/litre,7,550PS@6000RPM,4,Automatic,6
100,Porsche,Panamera,Turbo Executive,"Rs. 2,26,13,000",90 litres,Petrol,Sedan,10.63 km/litre,7,550PS@6000RPM,4,Automatic,6
101,Porsche,Panamera,Turbo Sport Turismo,"Rs. 2,17,47,000",90 litres,Petrol,Sedan,10.63 km/litre,7,550PS@6000RPM,4,Automatic,6
102,Bentley,Continental Gt,Coupe,"Rs. 3,37,91,059",90 litres,Petrol,Coupe,8.6 km/litre,8,590PS@6000rpm,4,Automatic,6
103,Ferrari,458 Speciale,Coupe,"Rs. 4,25,31,500",86 litres,Petrol,Coupe,9 km/litre,7,605PS@9000rpm,2,Automatic,5
104,Bentley,Mulsanne,Sedan,"Rs. 5,25,71,294",90 litres,Petrol,Sedan,9.5 km/litre,8,512PS@4200rpm,4,Automatic,6
105,Maruti Suzuki,Alto,Vxi,"Rs. 3,76,100",35 litres,Petrol,Hatchback,22.05 km/litre,5,48PS@6000rpm,5,Manual,2
106,Maruti Suzuki,Alto,Vxi Plus,"Rs. 3,89,600",35 litres,Petrol,Hatchback,22.05 km/litre,5,48PS@6000rpm,5,Manual,2
107,Maruti Suzuki,Swift,Zxi,"Rs. 6,78,000",37 litres,Petrol,Hatchback,20.4 km/litre,5,83PS@6000rpm,5,Manual,2
108,Maruti Suzuki,Swift,Zxi Amt,"Rs. 7,25,000",37 litres,Petrol,Hatchback,20.4 km/litre,5,83PS@6000rpm,5,Automatic,2
109,Maruti Suzuki,Swift,Zxi Plus,"Rs. 7,58,000",37 litres,Petrol,Hatchback,20.4 km/litre,5,83PS@6000rpm,5,Manual,2
110,Maruti Suzuki,Swift,Zdi,"Rs. 7,57,000",37 litres,Diesel,Hatchback,25.2 km/litre,5,75PS@4000rpm,5,Manual,2
111,Maruti Suzuki,Swift,Zdi Amt,"Rs. 8,04,000",37 litres,Diesel,Hatchback,25.2 km/litre,5,75PS@4000rpm,5,Automatic,2
112,Maruti Suzuki,Swift,Zdi Plus,"Rs. 8,38,000",37 litres,Diesel,Hatchback,25.2 km/litre,5,75PS@4000rpm,5,Manual,2
113,Maruti Suzuki,Swift,Zxi Plus Amt,"Rs. 8,02,000",37 litres,Petrol,Hatchback,20.4 km/litre,5,83PS@6000rpm,5,Automatic,2
114,Maruti Suzuki,Swift,Zdi Plus Amt,"Rs. 8,84,000",37 litres,Diesel,Hatchback,25.2 km/litre,5,75PS@4000rpm,5,Automatic,2
115,Tata,Tigor,Revotron Xz,"Rs. 6,50,000",35 litres,Petrol,Sedan,23 km/litre,5,86PS@6000rpm,5,Manual,2
116,Tata,Tigor,Revotron Xz Plus,"Rs. 6,99,000",35 litres,Petrol,Sedan,23 km/litre,5,86PS@6000rpm,5,Manual,2
117,Tata,Tigor,Revotron Xza Plus,"Rs. 7,49,000",35 litres,Petrol,Sedan,23 km/litre,5,86PS@6000rpm,5,AMT,2
118,Tata,Zest,Xt Petrol,"Rs. 7,32,475",44 litres,Petrol,Sedan,17.6 km/litre,5,90PS@5000rpm,5,Manual,2
119,Tata,Zest,Xt Diesel,"Rs. 8,55,362",44 litres,Diesel,Sedan,23 km/litre,5,90PS@4000rpm,5,Manual,2
120,Tata,Zest,Xta Diesel,"Rs. 9,89,000",44 litres,Diesel,Sedan,23 km/litre,5,90PS@4000rpm,5,Automatic,2
121,Honda,Amaze,E Mt Diesel,"Rs. 7,05,000",35 litres,Diesel,Sedan,27.4 km/litre,5,100PS@3600rpm,5,Manual,2
122,Honda,Amaze,V Cvt Petrol,"Rs. 8,23,000",35 litres,Petrol,Sedan,19 km/litre,5,90PS@6000rpm,5,Automatic,2
123,Honda,Amaze,V Cvt Diesel,"Rs. 9,25,000",35 litres,Diesel,Sedan,23.8 km/litre,5,80PS@3600rpm,5,Automatic,2
124,Honda,Amaze,S Mt Diesel,"Rs. 7,85,000",35 litres,Diesel,Sedan,27.4 km/litre,5,100PS@3600rpm,5,Manual,2
125,Honda,Amaze,Vx Mt Diesel,"Rs. 8,93,000",35 litres,Diesel,Sedan,27.4 km/litre,5,100PS@3600rpm,5,Manual,2
126,Honda,Amaze,V Mt Diesel,"Rs. 8,45,000",35 litres,Diesel,Sedan,27.4 km/litre,5,100PS@3600rpm,5,Manual,2
127,Honda,Amaze,Vx Mt Petrol,"Rs. 7,81,000",35 litres,Petrol,Sedan,19.5 km/litre,5,90PS@6000rpm,5,Manual,2
128,Honda,Amaze,V Mt Petrol,"Rs. 7,33,000",35 litres,Petrol,Sedan,19.5 km/litre,5,90PS@6000rpm,5,Manual,2
129,Honda,Amaze,S Mt Petrol,"Rs. 6,73,000",35 litres,Petrol,Sedan,19.5 km/litre,5,90PS@6000rpm,5,Manual,2
130,Honda,Amaze,Exclusive Edition Diesel,"Rs. 9,06,000",35 litres,Diesel,Sedan,27.4 km/litre,5,100PS@3600rpm,5,Manual,2
131,Honda,Amaze,Exclusive Edition Petrol,"Rs. 7,94,000",35 litres,Petrol,Sedan,19.5 km/litre,5,90PS@6000rpm,5,Manual,2
132,Honda,Amaze,Vx Cvt Diesel,"Rs. 9,66,000",35 litres,Diesel,Sedan,27.4 km/litre,5,100PS@3600rpm,5,Automatic,2
133,Honda,Amaze,Vx Cvt Petrol,"Rs. 8,64,000",35 litres,Petrol,Sedan,19.5 km/litre,5,90PS@6000rpm,5,Automatic,2
134,Honda,Amaze,Ace Edition Cvt Diesel,"Rs. 9,79,300",35 litres,Diesel,Sedan,27.4 km/litre,5,100PS@3600rpm,5,Automatic,2
135,Honda,Amaze,Ace Edition Cvt Petrol,"Rs. 8,77,300",35 litres,Petrol,Sedan,19.5 km/litre,5,90PS@6000rpm,5,Automatic,2
136,Honda,Amaze,Ace Edition Mt Diesel,"Rs. 9,06,300",35 litres,Diesel,Sedan,27.4 km/litre,5,100PS@3600rpm,5,Manual,2
137,Honda,Amaze,Ace Edition Mt Petrol,"Rs. 7,94,300",35 litres,Petrol,Sedan,19.5 km/litre,5,90PS@6000rpm,5,Manual,2
138,Fiat,Linea,Dynamic Multijet,"Rs. 9,32,025",45 litres,Diesel,Sedan,20.4 km/litre,5,93PS@4000RPM,5,Manual,2
139,Fiat,Linea,T-Jet Emotion,"Rs. 9,97,763",45 litres,Petrol,Sedan,15.7 km/litre,5,114PS@5000rpm,5,Manual,2
